1	1921
2	830
3	488
4	329
5	247
6	187
7	141
8	139
9	100
10	101
11	80
12	60
13	54
14	53
15	58
16	55
17	45
18	44
19	49
20	38
21	47
22	32
23	32
24	33
25	26
26	34
27	18
28	21
29	15
30	21
31	14
32	17
33	25
34	22
35	19
36	12
37	16
38	11
39	14
40	14
41	8
42	15
43	10
44	19
45	8
46	7
47	13
48	10
49	8
50	8
51	7
52	8
53	11
54	7
55	10
56	10
57	17
58	8
59	5
60	9
61	3
62	6
63	6
64	11
65	10
66	4
67	9
68	7
69	4
70	6
71	5
72	4
73	5
74	6
75	7
76	5
77	4
78	4
79	6
80	4
81	1
82	3
83	6
84	5
85	1
86	3
87	5
88	6
89	4
90	3
91	1
92	4
93	2
94	4
95	3
96	5
97	5
98	4
99	3
100	1
101	2
102	4
103	5
104	5
105	2
106	3
107	1
108	2
109	2
111	1
112	3
113	3
114	4
115	2
116	2
117	5
118	5
119	5
120	1
121	2
122	1
123	4
124	3
126	1
127	4
128	1
129	3
130	1
131	1
132	1
133	3
134	1
136	1
137	1
138	2
139	1
140	3
141	2
145	1
146	1
148	1
149	1
150	2
151	1
152	1
153	1
154	3
156	2
158	2
159	1
161	3
162	2
163	1
165	1
166	1
167	1
168	1
169	2
170	1
171	1
172	1
173	1
174	1
175	1
177	2
178	1
179	1
180	1
182	2
186	2
187	2
188	1
190	1
191	2
192	1
193	1
194	1
196	1
197	2
198	1
199	1
203	2
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	3
216	1
218	1
220	1
223	1
226	1
227	1
228	1
229	1
230	1
231	2
234	1
236	2
238	1
239	1
241	1
242	1
243	1
245	1
246	1
248	1
251	1
259	2
261	1
264	1
266	1
276	2
279	2
282	2
285	1
294	1
295	1
298	1
302	1
310	1
311	1
313	1
321	1
325	1
326	1
331	1
337	1
338	1
340	1
344	1
346	1
347	1
355	1
357	1
359	1
361	1
363	1
367	1
382	1
386	1
389	1
391	1
392	1
404	1
405	1
408	1
411	1
417	1
420	1
423	1
424	1
428	1
439	1
444	1
446	2
449	1
452	1
461	1
468	1
479	1
480	1
483	1
484	1
486	1
504	2
513	1
517	1
605	1
611	1
612	1
621	1
624	1
649	1
663	1
699	1
701	1
703	1
705	1
713	1
714	1
758	1
807	1
837	1
867	1
878	1
895	1
925	1
930	1
948	1
1010	1
1012	2
1013	1
1067	1
1126	1
1128	1
1140	1
1192	1
1202	1
1205	1
1260	1
1295	1
1794	1
1799	1
2032	1
2137	1
2238	1
2321	1
2509	1
3009	1
4248	1
6171	1
6461	1
11133	1
15498	1
